Bill Number,Title,Sponsors,Status,Current Location/Referral,Last Action Date
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=233&year=26"" target=""_blank"">HB 233</a>",PROTECTION OF WOMEN'S SPORTS ACT,Andrea Reeb; Jenifer Jones; Cathrynn N. Brown; Rod Montoya; Rebecca Dow,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=234&year=26"" target=""_blank"">HB 234</a>",DEFINITION OF FENTANYL,Andrea Reeb; Mark B. Murphy,HJC: Reported by committee with Do Pass recommendation with amendment(s),House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=235&year=26"" target=""_blank"">HB 235</a>",SUDDEN UNEXPECTED YOUNG PERSON DEATH REPORTS,Stefani Lord; Rebecca Dow; Mark Duncan,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=236&year=26"" target=""_blank"">HB 236</a>",UNM PATHWAYS STATEWIDE COLLABORATIVE PROGRAM,Anita Gonzales; Pamelya Herndon; Yanira Gurrola,Sent to HEC - Referrals: HEC/HAFC,House Education Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=237&year=26"" target=""_blank"">HB 237</a>",SMALL BUSINESS DISASTER RELIEF PROGRAM,Anita Gonzales,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=238&year=26"" target=""_blank"">HB 238</a>",INDEPENDENT THEATER SPONSORSHIP PROGRAM,Tara L. Lujan,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=239&year=26"" target=""_blank"">HB 239</a>",TRIBAL INFRASTRUCTURE PROJECT OBLIGATION,Gail Armstrong,Sent to HTPWC - Referrals: HTPWC/HAFC,"House Transportation, Public Works & Capital Improvements",01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=240&year=26"" target=""_blank"">HB 240</a>",EDUCATION OPPORTUNITY ACCOUNT ACT,Rod Montoya; Gail Armstrong; Elaine Sena Cortez; John Block; Jenifer Jones,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=241&year=26"" target=""_blank"">HB 241</a>",MEDICAL MALPRACTICE COURT NOTICES,Tara L. Lujan; Pamelya Herndon; Reena Szczepanski,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=242&year=26"" target=""_blank"">HB 242</a>",COST-OF-LIVING ADJUSTMENT FOR RETIREES,Alan T. Martinez; Cynthia Borrego; Joseph L. Sanchez; Tara L. Lujan,Sent to HLVMC - Referrals: HLVMC/HAFC,"House Labor, Veterans' and Military Affairs Committee",01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=243&year=26"" target=""_blank"">HB 243</a>",EQUINE SHELTER FUND & TRUST FUND,Joseph L. Sanchez; Tara L. Lujan; G. Andrés Romero; Cynthia Borrego,Sent to HAAWC - Referrals: HAAWC/HAFC,"House Agriculture, Acequias And Water Resources",01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=244&year=26"" target=""_blank"">HB 244</a>",HOSPITAL PRICE TRANSPARENCY ACT,Alan T. Martinez; Reena Szczepanski; Michelle Paulene Abeyta; Joshua N. Hernandez,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=245&year=26"" target=""_blank"">HB 245</a>",DENIAL OF ENROLLMENT TO SCHOOL,Rebecca Dow; Alan T. Martinez; Rod Montoya,Not Printed,House Rules & Order of Business Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=246&year=26"" target=""_blank"">HB 246</a>",MATCHING FUNDS FOR FLOODPLAIN LAND REHAB,Harlan Vincent; Rex Wilson; Mark Duncan,HENRC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=247&year=26"" target=""_blank"">HB 247</a>",CAPITAL OUTLAY CHANGES,Derrick J. Lente,SFC: Reported by committee with Do Pass recommendation with amendment(s),Scheduled for Senate Calendar                                                                                                                                                                                                                                                 on 2/15/2026,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=248&year=26"" target=""_blank"">*HB 248</a>",GENERAL OBLIGATION BONDS,Derrick J. Lente,HTRC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=249&year=26"" target=""_blank"">HB 249</a>",ELECTRONIC MEDICAL RECORDS TAX CREDIT,Jenifer Jones; Pamelya Herndon,Sent to HHHC - Referrals: HHHC/HTRC,House Health & Human Services Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=250&year=26"" target=""_blank"">HB 250</a>",TECH & INNOVATION NETWORK ADVISORY BOARD,Meredith A. Dixon,HCEDC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,"Scheduled for House Government, Elections & Indian Affairs Committee                                                                                                                                                                                                          on 2/16/2026",02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=251&year=26"" target=""_blank"">HB 251</a>",NEW HOMES DEVELOPMENT PROGRAM,Cristina Parajón; Heather Berghmans; Gail Armstrong; Cindy Nava,Sent to HCEDC - Referrals: HCEDC/HAFC,House Commerce & Economic Development Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=252&year=26"" target=""_blank"">HB 252</a>",TRANSFER ATHLETIC COMMISSION AUTHORITY,Art De La Cruz; Antonio Maestas,Not Printed,House Rules & Order of Business Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=253&year=26"" target=""_blank"">*HB 253</a>",PUBLIC EDUCATION CHANGES,Joy Garratt; William P. Soules; Susan K. Herrera,Passed in the House of Representatives - Y:69 N:0,Senate Intro,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=254&year=26"" target=""_blank"">HB 254</a>",AVOIDED GASSES IN PRC COST TEST,Kristina Ortez,Passed in the House of Representatives - Y:65 N:0,Senate Intro,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=255&year=26"" target=""_blank"">HB 255</a>",PUBLIC SAFETY WORKFORCE BUILDING PROGRAM,Charlotte Little; Meredith A. Dixon; Sarah Silva; Cathrynn N. Brown,HAFC: Reported by committee with Do Pass recommendation,House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=256&year=26"" target=""_blank"">HB 256</a>",DEFIBRILLATORS AT SCHOOL ATHLETIC EVENTS,Pamelya Herndon; Yanira Gurrola; D. Wonda Johnson; Patricia Roybal Caballero,Passed in the House of Representatives - Y:66 N:0,Senate Intro,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=257&year=26"" target=""_blank"">HB 257</a>",VAGUS NERVE STIMULATION REIMBURSEMENT,Pamelya Herndon; Patricia A. Lundstrom; D. Wonda Johnson,HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/06/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=258&year=26"" target=""_blank"">HB 258</a>",DENTAL HYGIENISTS IN DENTAL HEALTH ACT,Pamelya Herndon,Not Printed,House Rules & Order of Business Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=259&year=26"" target=""_blank"">HB 259</a>",ACTUARIAL REVIEW OF HEALTH LEGISLATION,Nicole Chavez; Elaine Sena Cortez,HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/09/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=260&year=26"" target=""_blank"">HB 260</a>",CRIME OF FALSE STATEMENT TO LEGISLATURE,Randall T. Pettigrew; John Block,Not Printed,House Rules & Order of Business Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=261&year=26"" target=""_blank"">HB 261</a>",SCHOOL ACTIVITY BUSES,Luis M. Terrazas; Joy Garratt; Brian G. Baca; Gabriel Ramos; Tanya Mirabal Moya,Sent to HEC - Referrals: HEC/HAFC,House Education Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=262&year=26"" target=""_blank"">HB 262</a>",SCHOOL TRANSPORT EMERGENCY FUND USES,Luis M. Terrazas; Joy Garratt; Brian G. Baca; Gabriel Ramos; Tanya Mirabal Moya,Sent to HEC - Referrals: HEC/HAFC,House Education Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=263&year=26"" target=""_blank"">HB 263</a>",SCHOOL MATH & SCIENCE CHANGES,Catherine J. Cullen; Brian G. Baca,Not Printed,House Rules & Order of Business Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=264&year=26"" target=""_blank"">HB 264</a>",VARIOUS INCOME TAX DEDUCTIONS,Mark Duncan; Mark B. Murphy; Jonathan A. Henry; Rebecca Dow; William A. Hall II,Referred to: HTRC,House Taxation & Revenue Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=265&year=26"" target=""_blank"">HB 265</a>",TAXPAYER DIVIDEND INCOME TAX REBATE FUND,Randall T. Pettigrew,Sent to HTRC - Referrals: HTRC/HAFC,House Taxation & Revenue Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=266&year=26"" target=""_blank"">HB 266</a>",PENALTY FOR SEXUAL EXPLOITATION OF CHILDREN,Elaine Sena Cortez; Andrea Reeb,Not Printed,House Rules & Order of Business Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=267&year=26"" target=""_blank"">HB 267</a>",WILDFIRE UTILITY MITIGATION & LIABILITY ACT,Meredith A. Dixon; Pat Woods,HENRC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,House Appropriations & Finance Committee,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=268&year=26"" target=""_blank"">HB 268</a>",LAND GRANT & ACEQUIA MUSEUM,Linda Serrato,HRDLC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=269&year=26"" target=""_blank"">HB 269</a>",CHILDCARE PROGRAM USE OF FUNDS,Linda Serrato; Javier Martínez,Not Printed,House Rules & Order of Business Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=270&year=26"" target=""_blank"">HB 270</a>",CONTRIBUTIONS TO APPRENTICE & TRAINING PGMS.,Cynthia Borrego; Michael Padilla; Art De La Cruz; Patricia Roybal Caballero; Tara L. Lujan,Passed in the House of Representatives - Y:41 N:25,Senate Intro,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=271&year=26"" target=""_blank"">HB 271</a>",OFFICE OF NATURAL RESOURCES TRUSTEE FUNDING,Nathan P. Small; Sarah Silva,HENRC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=272&year=26"" target=""_blank"">HB 272</a>",CRIME OF DEED THEFT,Nathan P. Small,Not Printed,House Rules & Order of Business Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=273&year=26"" target=""_blank"">HB 273</a>",WOMEN'S SAFETY & PROTECTION ACT,Rod Montoya; Andrea Reeb; John Block; William A. Hall II; Nicole Chavez,Not Printed,House Rules & Order of Business Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=274&year=26"" target=""_blank"">HB 274</a>",NONCONFORMING MOBILE HOME PARK LOTS,Jonathan A. Henry; Rebecca Dow; Joshua N. Hernandez,Not Printed,House Rules & Order of Business Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=275&year=26"" target=""_blank"">HB 275</a>",GILA REGIONAL CANCER CENTER BONDS,Luis M. Terrazas; D. Wonda Johnson; Gabriel Ramos; Doreen Y. Gallegos; Jenifer Jones,HTRC: Reported by committee with Do Pass recommendation with amendment(s),House Appropriations & Finance Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=276&year=26"" target=""_blank"">HB 276</a>",NM WINEMAKING INDUSTRY,Doreen Y. Gallegos; Linda Serrato; Raymundo Lara; John Block; Joseph L. Sanchez,HAAWC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=277&year=26"" target=""_blank"">HB 277</a>",SCOPE OF PRACTICE ADVISORY COMMITTEE,Nicole Chavez,Sent to HHHC - Referrals: HHHC/HJC,House Health & Human Services Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=278&year=26"" target=""_blank"">HB 278</a>",TOXICOLOGY REIMBURSEMENT REQUIREMENTS,Tara L. Lujan; Kathleen Cates,Sent to HHHC - Referrals: HHHC/HAFC,House Health & Human Services Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=279&year=26"" target=""_blank"">HB 279</a>",HEALTHCARE PRIVACY & SAFETY PROTECTIONS,Christine Chandler; Linda M. Trujillo,HJC: Reported by committee with Do Pass recommendation,House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=280&year=26"" target=""_blank"">HB 280</a>",YOUTH INTERNSHIP PILOT PROJECT,Cristina Parajón; Yanira Gurrola; Anita Gonzales,HLVMC: Reported by committee with Do Pass recommendation,Scheduled for House Appropriations & Finance Committee                                                                                                                                                                                                                        on 2/15/2026,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=281&year=26"" target=""_blank"">HB 281</a>",FINANCIAL ASSURANCE FOR SOLAR & WIND,Luis M. Terrazas; Gabriel Ramos; Mark B. Murphy; Rebecca Dow; Gail Armstrong,Not Printed,House Rules & Order of Business Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=282&year=26"" target=""_blank"">HB 282</a>",SCHOOL & JUVENILE PROBATION COOPERATION,Luis M. Terrazas; Gabriel Ramos; Brian G. Baca,Sent to HJC - Referrals: HJC,House Judiciary Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=283&year=26"" target=""_blank"">HB 283</a>",USE OF CANNABIS IN HEALTH CARE FACILITIES,Pamelya Herndon,Not Printed,House Rules & Order of Business Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=284&year=26"" target=""_blank"">HB 284</a>",CREATE OFFICE OF ENERGY INFO,Meredith A. Dixon; Kristina Ortez; Tara L. Lujan,Not Printed,House Rules & Order of Business Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=285&year=26"" target=""_blank"">*HB 285</a>",DISABLED VETERAN PROPERTY TAX CHANGES,Art De La Cruz; Alan T. Martinez; Debra M. Sariñana; Harold Pope; Luis M. Terrazas,Sent to STBTC - Referrals: STBTC,"Senate Tax, Business and Transportation Committee",02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=286&year=26"" target=""_blank"">HB 286</a>",ELECTRIC VEHICLE WEIGHT ALLOWANCE,Art De La Cruz; Dayan Hochman-Vigil; Raymundo Lara; Jenifer Jones,Not Printed,House Rules & Order of Business Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=287&year=26"" target=""_blank"">HB 287</a>",PERMANENT HEALTH & HUMAN SERVICES COMMITTEE,"Elizabeth ""Liz"" Thomson; Javier Martínez; Joanne J. Ferrary; Reena Szczepanski",HAFC: Reported by committee with Do Pass recommendation with amendment(s),House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=288&year=26"" target=""_blank"">HB 288</a>",NM HISTORIC WOMEN MARKER PROGRAM,Gail Armstrong; Pamelya Herndon; Cathrynn N. Brown,HRDLC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=289&year=26"" target=""_blank"">HB 289</a>",SCHOOL TRANSPORTATION FUNDING,Gail Armstrong; Tanya Mirabal Moya; Brian G. Baca; Angel M. Charley,Sent to HEC - Referrals: HEC/HAFC,House Education Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=290&year=26"" target=""_blank"">HB 290</a>",METRO REDEV PROJECT PROPERTY TAX EXEMPTION,Cynthia Borrego; Meredith A. Dixon,Sent to HCEDC - Referrals: HCEDC/HTRC,House Commerce & Economic Development Committee,02/03/2026
